"ind","catg","headline","body","imageurl","readmoreurl","inblockId"
"1","entertainment","Swara messaged me saying she loved me in Padmaavat: Ranveer","While talking about Swara Bhasker, who had criticised 'Padmaavat', Ranveer Singh said, ""I got a message from (her) just yesterday...She loved my performance in the film."" Swara had earlier written an open letter to director Sanjay Leela Bhansali, saying that she felt ""reduced to a vagina"" after watching his film 'Padmaavat'. Ranveer played Sultan Alauddin Khilji in the film.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517325122695_410.jpg?resize=400px:*","https://www.hindustantimes.com/bollywood/padmaavat-i-was-raging-from-inside-ever-since-the-first-incident-on-sets-says-ranveer-singh/story-lrF6RSKNyDnO9ev0cz8eIN.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","lvleqzc5-1"
"2","entertainment","Protests against 'Padmaavat' were illogical: Bhansali","Opening up on the row over his film 'Padmaavat', Sanjay Leela Bhansali said, ""The protests were illogical... There was nothing to be discussed."" ""It had reached an obnoxious level with people sitting with swords on national television and giving death threats,"" he added. Bhansali further said, ""[The film] is an answer to the anguish that we all went through.""","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517370298748_623.jpg?resize=400px:*","https://www.hindustantimes.com/bollywood/padmaavat-protests-were-illogical-reached-an-obnoxious-level-says-sanjay-leela-bhansali/story-a82Txv3Zn4yVQEIBicsn2I.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","lvleqzc5-1"
"3","entertainment","Padmaavat doesn't hurt sentiments: Historians post screening","Two of the four historians named by Rajput organisation Karni Sena in a panel to watch 'Padmaavat' have said the film doesn't hurt sentiments of any community. The historians, however, said it was their personal opinion. Before the film's release, Karni Sena had appointed four historians in the six-member panel and demanded that the film should be screened for them.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517391639595_683.jpg?resize=400px:*","https://www.indiatoday.in/pti-feed/story/2-historians-in-karni-sena-panel-clear-padmaavat-1157650-2018-01-30?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","lvleqzc5-1"
"4","entertainment","Charges framed against Sooraj over Jiah Khan death case","A Mumbai sessions court on Tuesday framed charges against actor Sooraj Pancholi for allegedly abetting actress Jiah Khan's suicide. Sooraj has pleaded not guilty and examination of witnesses will start from February 14. According to the CBI, Sooraj had 'hidden facts and fabricated information' during questioning. Jiah was found hanging at her residence on June 3, 2013.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517327247625_939.jpg?resize=400px:*","https://www.hindustantimes.com/bollywood/jiah-khan-death-case-charges-framed-against-sooraj-pancholi/story-o7QCf4fIC1glCctJtCY9hN.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","lvleqzc5-1"
"5","entertainment","Sushant shares his look as dacoit in 'Son Chiriya'","Actor Sushant Singh Rajput took to social media to share his look as a dacoit in the upcoming film 'Son Chiriya'. The film will also star actress Bhumi Pednekar. Directed by 'Udta Punjab' director Abhishek Chaubey, the film is set in the 1970s and will narrate the tale of Chambal dacoits.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517295894670_164.jpg?resize=400px:*","https://www.lehren.com/news/bollywood/gossip/sushant-singh-rajput-s-look-from-son-chiriya-is-out--20180130?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","lvleqzc5-1"
"6","entertainment","SRK's Alibag farmhouse attached by I-T Dept under benami law","The Income Tax Department has provisionally attached Shah Rukh Khan's farmhouse in Maharashtra's Alibag under benami laws, as per reports. The I-T investigation said the farmhouse, registered as Deja Vu Farms Private Limited, acted as benamidar for the ultimate benefit of the actor. Khan had allegedly applied for buying agricultural land for farming but constructed a farmhouse for personal use.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517325160327_150.jpg?resize=400px:*","https://www.newsbytesapp.com/timeline/India/15509/78169/srk-in-trouble-over-alibaug-farmhouse?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","lvleqzc5-1"
"7","entertainment","'Padmaavat' most anxious release in Indian cinema: Bhansali","Sanjay Leela Bhansali, while speaking on the 'Padmaavat' row, said, ""I think it's the most anxious release in the history of Indian cinema."" ""There were anxious moments right from finishing it to getting the censors and getting it into theatres,"" he added. Bhansali further said, ""I know I was troubled...but deep inside, I found the strength to make the film.""","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517385934590_661.jpg?resize=400px:*","https://www.hindustantimes.com/bollywood/padmaavat-protests-were-illogical-reached-an-obnoxious-level-says-sanjay-leela-bhansali/story-a82Txv3Zn4yVQEIBicsn2I.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","lvleqzc5-1"
"8","entertainment","We are not endorsing jauhar: Deepika Padukone on Padmaavat","While talking about the ongoing controversy on the film 'Padmaavat', Deepika Padukone said, ""We are not endorsing jauhar. You must see the scene in context to the period in which it was shown."" She said the scene was powerful while adding, ""You won't feel like she is wrong."" Deepika further said that it was the most difficult scene to perform.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517313472667_991.jpg?resize=400px:*","https://www.indiatoday.in/movies/bollywood/story/deepika-padukone-padmaavat-jauhar-controversy-1157222-2018-01-30?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","lvleqzc5-1"
"9","entertainment","Agnihotri calls Swara 'fake feminist' for 'Padmaavat' remark","Filmmaker Vivek Agnihotri, while slamming actress Swara Bhasker for her remark on 'Padmaavat', called her a ""fake feminist"". Responding to this, Swara tweeted, ""Pretty low and sick even by your own abysmal standards of conduct and civility."" Swara had said ""she felt like a vagina"" after watching 'Padmaavat' and accused Bhansali of glorifying the practice of Jauhar.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517393171831_359.jpg?resize=400px:*","https://www.hindustantimes.com/bollywood/pretty-low-and-sick-swara-bhaskar-responds-to-vivek-agnihotri-s-tweet-on-her-padmaavat-criticism/story-v2ezm1FlfwiRXoXghY4k7L.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","lvleqzc5-1"
"10","entertainment","Varun youngest B'wood actor to get statue at Madame Tussauds","Varun Dhawan has become the youngest Bollywood actor to get a wax statue at the Madame Tussauds museum. The actor unveiled his wax statue at the Madame Tussauds museum in Hong Kong. ""Varun Dhawan is one of the most requested figures and we are delighted to be partnering with this great Bollywood actor,"" said the museum's General Manager.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517305101892_936.jpg?resize=400px:*","https://www.popxo.com/2018/01/varun-dhawan-unveils-wax-statue-at-madame-tussauds-hong-kong/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","lvleqzc5-1"
