"ind","catg","headline","body","imageurl","readmoreurl","inblockId"
"1","science","Apollo 1 crew burnt inside cockpit as it opened only inwards","On January 27, 1967, astronauts training for the first crewed Apollo flight were burned alive inside a purely oxygen-filled launch module since its door could be opened only inwards while high cabin pressure made it impossible to do so. The accident forced complete design remodelling for future missions, having an oxygen-nitrogen mixture and hatch which opened outwards within 90 seconds.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/27jan/inshorts_image_1517042052573_847.jpg?resize=400px:*","https://nssdc.gsfc.nasa.gov/planetary/lunar/apollo1info.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"2","science","NASA's Challenger 10 blew up 73 secs after launch killing 7","On January 28, 1986, NASA's Challenger space shuttle, which had completed 9 successful Earth-orbiting missions, exploded just 73 seconds after lift-off in its 10th spaceflight. The tragedy marked NASA's first-ever accident involving humans off-Earth, killing a 7-member crew. The mishap was blamed on faulty rubber O-rings which caused liquid oxygen and hydrogen fuel to mix, triggering an explosion.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/28jan/inshorts_image_1517130945983_942.jpg?resize=400px:*","http://www.history.com/news/how-the-challenger-disaster-changed-nasa?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"3","science","India to witness super blue moon with lunar eclipse today","India would witness a 'super blue blood' moon between 5:15 PM and 7:37 PM today as the Moon goes from east to west. Occurring for the first time since 1866, the second Full Moon of the month, often called a Blue Moon, would coincide with a lunar eclipse giving it a blood-red tint, with the Moon also being a supermoon.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517306835637_913.jpg?resize=400px:*","http://www.india.com/news/india/super-blue-blood-moon-2018-when-where-and-how-to-watch-live-streaming-of-lunar-eclipse-supermoon-blue-moon-at-the-same-time-in-india-2870461/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"4","science","Scientists create wriggly robots that run on moisture","South Korean researches have created robots that move forward by absorbing humidity from their surrounding environment, without any power supply. Called hygrobots, the robots made using actuator nanofibres can crawl, wriggle back and forth, and twist like a snake. The researchers showed that a hygrobot soaked in antibiotics could deliver drugs to the human body, propelled using skin moisture.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/27jan/inshorts_image_1517037629816_127.jpg?resize=400px:*","https://www.theverge.com/2018/1/26/16932662/hygrobot-micro-robots-air-moisture-plants?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"5","science","Nuclear waste from Chernobyl used to develop crypto security","Developers of cryptocurrency Zcash have used radioactive waste from Chernobyl nuclear plant in Ukraine to build a secure cryptocurrency system. They used radioactive graphite from the site to create low-level gamma and beta radiation for generating random numbers to be used in cryptography. The developers performed the procedure on a private aircraft at a 3,000-foot altitude to ensure security.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517379374636_666.jpg?resize=400px:*","https://www.rt.com/business/417364-zcash-chernobyl-secrecy/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"6","science","System lets doctors see under patients' skin without cutting","Canada-based researchers have developed an Augmented Reality system that projects patients' internal anatomy directly on the body, doing away with the need to make incisions. Called ProjectDR, the technology uses infrared cameras and body markers that project images while tracking body movement. Further, doctors can choose to see only the lungs or blood vessels, depending on the case.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/26jan/inshorts_image_1516958917792_964.jpg?resize=400px:*","https://www.ualberta.ca/science/science-news/2018/january/augmented-reality-tech-see-under-skin-without-scalpel?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"7","science","TeamIndus ends ISRO deal after Google scraps $30mn Moon race","Bengaluru-based aerospace startup TeamIndus, one of the five finalists of Google's $30-million race to the Moon, has terminated the launch agreement with ISRO. This came a day after Google called off the contest saying no team will be able to attempt launch by the deadline. TeamIndus' deal termination was reportedly attributed to lack of funds, procuring hardware and management issues.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516856706708_187.jpg?resize=400px:*","https://www.vccircle.com/team-indus-ends-its-pursuit-of-google-lunar-xprize/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"8","science","Airliner fuelled by mustard oil takes flight from US to Aus","The world's first 15-hour biofuel flight took off on Monday from Los Angeles to Melbourne by a Qantas Boeing 787 Dreamliner, filled with mustard seed-based blended fuel. Apart from 90% regular jet fuel, the airplane burned 10% of biofuel, achieving 7% lesser carbon emissions. Brassica carinata-derived fuel offers over 80% reduction in carbon emissions compared with traditional jet fuel.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517385239787_499.jpg?resize=400px:*","https://www.theguardian.com/environment/2018/jan/30/qantas-uses-mustard-seeds-in-first-ever-biofuel-flight-between-australia-and-us?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"9","science","Scientists make 3D images move in air like 'Star Wars'","US-based physicists have created floating 3D images that viewers can see from any angle. Researchers said it's ""not a hologram"" as it gave an all-round view as shown in the 1977 Star Wars film where Princess Leia called for help. Millimetre-sized images were created with lasers guiding a particle in air while projecting colour onto it using 'volumetric display' technique.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/27jan/inshorts_image_1517034163536_598.jpg?resize=400px:*","https://www.theguardian.com/technology/2018/jan/24/floating-3d-printing-brings-sci-fi-style-projections-closer?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"10","science","Killer orca whales mimic words 'hello', 'bye' from humans","Scientists have shown that killer orca whales could imitate human speech, in some cases at the first attempt, saying words such as ""hello"", ""one, two"" and ""bye bye"". A 14-year-old female orca trained in France could mimic all noises within 17 trials with ""hello"" correctly produced over 50% of the time. Dolphins, elephants, and orangutans can also mimic human speech.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517381647145_621.jpg?resize=400px:*","https://www.theguardian.com/science/2018/jan/31/orcas-killer-whales-can-imitate-human-speech-research-reveals?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"11","science","NASA has gone over a year without a formal head","More than a year has passed since Charles Bolden, appointed by former US President Barack Obama, resigned as NASA administrator on January 20, 2017, after a seven-year tenure. Donald Trump's administration had nominated a candidate five months ago but couldn't gather enough votes in the Senate to appoint him. NASA has been led by acting administrator Robert Lightfoot since then.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517375832797_930.jpg?resize=400px:*","https://www.nasa.gov/nasa-leadership?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"12","science","Chinese volunteers complete 200 days on virtual 'Moon base'","Four Chinese students have successfully completed 200 days living self-sufficiently in an isolated ""lunar lab"" to simulate a long-term space mission, as the country prepares for its goal of putting people on the Moon. Called Yuegong-1 or ""Lunar Palace-1"", the 160-square-metre facility recycled human waste with a bio-fermentation process using which the volunteers grew crops for food and oxygen.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517308190422_924.jpg?resize=400px:*","https://phys.org/news/2018-01-chinese-volunteers-days-virtual-moon.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle#nRlv ","havrsmkb-1"
"13","science","Oldest outside-of-Africa modern human fossil discovered","An international team of researchers has discovered the earliest modern human fossil ever found outside of Africa. The fossil, an upper jawbone, found in an Israeli cave dates back 1,75,000-2,00,000 years, pushing back the modern human migration out of Africa by at least 50,000 years. Other archaeological evidence showed stone tools similar to that of earliest modern humans in Africa.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/26jan/inshorts_image_1516936927863_804.jpg?resize=400px:*","https://phys.org/news/2018-01-scientists-oldest-modern-human-fossil.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"14","science","Mathematicians develop model that explains how ideas emerge","UK-based researchers have developed a mathematical model that explains how knowledge grows in modern science. They studied 20 years of publications in disciplines like astronomy, economics, and mathematics to analyse the appearance of new concepts. The model was able to reproduce the rate at which new theories emerge and explain why discoveries are strongly correlated, often coming in clusters.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516873150393_336.jpg?resize=400px:*","https://phys.org/news/2018-01-mathematicians-ideas-emerge.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"15","science","Amateur astronomer finds NASA satellite lost for 12 years","A Canada-based stargazer has tracked the $150-million IMAGE mission satellite, which NASA launched in 2000 but lost contact with at the end of 2005. Scott Tilley was looking for the secret US satellite Zuma, after its recent launch by SpaceX reportedly failed. NASA is now searching its archives for old software to contact IMAGE, designed to monitor the Earth's magnetosphere.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517282266053_286.jpg?resize=400px:*","https://www.rt.com/usa/417214-nasa-image-lost-satellite/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
"16","science","Astronaut poop, urine can be turned into food, study claims","Human waste could one day serve as a valuable resource for astronauts on deep-space missions, a US-based study has claimed. Penn State researchers showed that a bacterium having 52% protein and 36% fats could be grown in methane produced by human waste, to provide for nutrition in space. The team removed 49-59% of solids in 13 hours during their test.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517315518745_150.jpg?resize=400px:*","http://news.psu.edu/story/502406/2018/01/25/microbes-may-help-astronauts-transform-human-waste-food?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","havrsmkb-1"
