"ind","catg","headline","body","imageurl","readmoreurl","inblockId"
"1","national","Man calls off protest on 783rd day as CBI records statement","The man who had been protesting in front of the Kerala Secretariat against the death of his brother in prison called off the protest on the 783rd day after the CBI recorded his statement. Though the CBI agreed to investigate the case on January 19, Sreejith said he would end the protest only once there is clarity about the probe.  ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517387541071_999.jpg?resize=400px:*","https://www.thenewsminute.com/article/sreejeev-death-after-783-days-sreejith-calls-protest-cbi-records-his-statement-75646?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"2","national","Main accused in Kasganj violence murder case arrested","The Uttar Pradesh Police on Wednesday arrested Salim, the prime accused in the murder case of a youth who was shot dead during Kasganj violence on Republic Day. Salim had been absconding with his brothers Nasim and Wasim after the incident. The clashes occurred over an unauthorised bike rally by Vishva Hindu Parishad. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/1jan/31/btil1jzo-1-1517390807566.jpg?resize=400px:*","https://twitter.com/ANINewsUP/status/958603796665413633?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"3","national","India's Union Budget was leaked in 1950","A certain portion of India's Union Budget was leaked in 1950 when the printing used to take place at the Rashtrapati Bhavan. Later, the venue was moved to a government press on Minto Road in Delhi after the leak. The North Block basement at the capital's Secretariat Building has become the permanent place for printing Budget papers since 1980.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517315828086_159.jpg?resize=400px:*","http://www.ibtimes.co.in/budget-2017-halwa-ceremony-secrecy-shrouding-indias-annual-financial-statement-710047?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"4","national","Why was the 1973 Budget called the Black Budget?","India's Union Budget for 1973-74 was called the 'Black Budget' as the nation had a deficit of ₹550 crore. The Budget was presented on February 28, 1973, by then Finance Minister in the Congress government, Yashwantrao Chavan. Interestingly, the 1997 Budget presented by P Chidambaram was called the 'Dream Budget' owing to the reforms which helped broaden India's tax base.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517310643677_583.jpg?resize=400px:*","http://www.ibtimes.co.in/budget-2017-did-you-know-budget-was-presented-usually-5-pm-till-vajpayee-government-did-away-it-714257?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"5","national","How is the Union Budget kept secret before being presented?","The Budget is printed at the North Block's basement in Delhi, where over hundred officials are locked for over a week with no social interaction till the Finance Minister presents the Budget. A single phone is available on which the families of officials can leave messages. Electronic jammers are installed ensuring that no information is leaked using mobile phones.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517315120566_760.jpg?resize=400px:*","http://www.businesstoday.in/union-budget-2018-19/news/budget-2018-finance-minister-arun-jaitley-secret-blue-sheet-halwa/story/268403.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"6","national","MP govt to send 30 farmers on a study tour to Australia","Madhya Pradesh Horticulture Minister SP Meena has said the state has selected 30 farmers for a study tour to Australia and New Zealand. Adding that farmers greatly benefit from such programs, Meena said applications for a tour to South Africa have also been floated online. However, Congress has alleged the list of farmers includes former BJP MLAs and their relatives.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517388507614_201.jpg?resize=400px:*","https://twitter.com/ANI/status/958591489986256898?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"7","national","Navy launches 3rd made-in-India Scorpene-class submarine","Indian Navy on Wednesday launched INS Karanj, the third of the six indigenous Scorpene-class submarines. The submarine, equipped with superior stealth features and precision-guided weapons, has been built at Mumbai's Mazagon Dock Shipbuilders Limited. Notably, the first Scorpene-class submarine INS Kalvari was commissioned in December, while the second, INS Khanderi, is undergoing sea trials.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517371116076_549.jpg?resize=400px:*","http://www.india.com/news/india/ins-karanj-third-scorpene-class-submarine-launched-by-indian-navy-2870512/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"8","national","6.1 magnitude-earthquake hits Afghanistan, tremors in India","After an earthquake of magnitude 6.1 occurred in Afghanistan's Hindu Kush region on Wednesday, tremors were felt in several regions of north India and Pakistan. At least one person died and several others were injured in Balochistan's Lasbela, according to reports. Meanwhile, there have been no reports of casualties or damages in India. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/1jan/31/hggtbwxc-2-1517389059334.jpg?resize=400px:*","https://www.hindustantimes.com/india-news/tremors-in-delhi-ncr-northern-india-after-earthquake/story-CON5mhPZ0zRopC4spkKhdL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"9","national","Govt seeks to curb tobacco firms by ending right to trade","The government has urged the Supreme Court to enforce a rare policy by withdrawing the tobacco industry's legal right to trade, according to a filing seen by Reuters. If applied, it will give authorities more freedom to impose restrictions. The government argued it should have the power ""to regulate business and to mitigate evils"" to safeguard public health. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517312777556_202.jpg?resize=400px:*","https://in.reuters.com/article/india-tobacco-exclusive/exclusive-with-roman-law-doctrine-india-moves-to-stub-out-tobacco-industry-rights-idINKBN1FJ01M?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"10","national","Govt plan to create 75 lakh jobs by March outrageous: Ex-FM","Ex-Finance Minister P Chidambaram has claimed the BJP government's plan to create 75 lakh jobs by March is ""outrageous"" and impossible. He said if India can create 75 lakh jobs in the formal sector, it must have created another 75 lakh jobs in the informal sector. ""China's GDP is five times India's and it creates 150 lakh jobs,"" he added.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517379498593_393.jpg?resize=400px:*","http://www.newindianexpress.com/business/2018/jan/30/creating-75-lakh-jobs-impossible-nails-governments-lies-p-chidambaram-1765775.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"11","national","Soot-boot ki sarkar: BJP on Rahul Gandhi attending concert","Claiming that the jacket worn by Congress President Rahul Gandhi at a concert in Meghalaya cost nearly ₹65,000, BJP tweeted, ""soot(pun intended!)-boot ki sarkar with 'black' money fleeced from Meghalayan State exchequer by rampant corruption?"" Notably, the concert was organised by Congress as part of the party's campaign for the upcoming Assembly elections in the state.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517379561780_864.jpg?resize=400px:*","http://www.india.com/news/india/rahul-gandhi-attends-rock-concert-in-poll-bound-meghalaya-bjp-claims-he-wore-rs-70000-jacket-2870674/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"12","national","HC asks EC to state facts behind AAP MLAs' disqualification","The Delhi High Court has asked the Election Commission to state the factual aspects behind its recommendation to disqualify 20 AAP MLAs in the office of profit case. The court asked the EC to file an affidavit after the commission said it wanted to respond to allegations made by some MLAs in their pleas challenging their disqualification.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517331239012_507.jpg?resize=400px:*","https://www.indiatoday.in/india/story/hc-asks-ec-to-state-facts-behind-aap-mlas-disqualification-1157215-2018-01-30?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"13","national","PM Modi to open India-assisted diplomat centre in Palestine","During his visit to Palestine on February 9, PM Narendra Modi will inaugurate Palestine Institute of Diplomacy, which has been set up with Indian assistance of ₹28.6 crore. ""This centre is latest example of India-Palestine cooperation, especially in the area of capacity building,"" an official said. PM Modi will be the first Indian Prime Minister to visit Palestine.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517373397904_181.jpg?resize=400px:*","https://www.hindustantimes.com/india-news/modi-to-open-india-assisted-centre-to-train-diplomats-during-palestine-visit/story-a6MxJkC9AvKSXHx4WvgA2H.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"14","national","Religion not the only criteria for custody of child: SC","The Supreme Court has said religion is only one of the seven criteria the court has to consider while deciding a child's custody. The court made the observation while declining a plea filed by a paternal grandmother seeking her granddaughter's custody on grounds that her father was a Muslim and her present custodian, her maternal grandmother, is a Hindu. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517322836390_313.jpg?resize=400px:*","https://www.hindustantimes.com/india-news/religion-not-the-only-norm-for-custody-of-child-says-supreme-court/story-ZhZtNspE0mZ7mcnq5rBIkI.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"15","national","Congress delegation denied permission to visit Kasganj","The Uttar Pradesh administration on Wednesday denied permission to Raj Babbar-led Congress delegation to visit Kasganj over law and order situation. Meanwhile, the Centre has directed the state government to send a comprehensive report about the violence, which killed one and injured two people. Over 110 people have been arrested in connection with the violence that took place last week.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517375471846_862.jpg?resize=400px:*","http://www.india.com/news/india/kasganj-communal-clashes-congress-delegation-denied-permission-to-visit-violence-hit-town-2870638/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
"16","national","Class 9 boy sodomised for a year by school seniors in Delhi","A Class 9 student of a government school in Delhi was allegedly sodomised for a year by five senior students inside the school premises. The boy has said that his seniors used to assault him at knifepoint. Reportedly, a teacher also caught the students red-handed but let them off and asked the victim to take a 15-day break.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517368833160_345.jpg?resize=400px:*","https://www.indiatoday.in/mail-today/story/class-9-student-sodomised-for-a-year-by-school-seniors-1157955-2018-01-31?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","iizlcmfd-1"
